batch id,accession,lib type,Enterobacteria phage T7,Escherichia virus T4,Lactobacillus,human,bacteria,virus,parasite,fungus,unclassified
200219B02,IDBD-D101933,DNA,44.91621900168395,0,0,16823.165662448897,9405268.42749134,673.7432850252593,3530.0064842687066,1494.4851049651206,572165.255752951
200219B02,controlNeg,DNA,3.741272313181905,0,0,57002.02496363951,9310541.502401428,703.3591948781982,4068.633640585322,1133.6055108941173,626547.1330162605
200219B02,controlPos,DNA,10297.866773970178,0,0,59327.371921837155,9122415.224775737,2465.1607206587223,1157.0437124360694,605434.2308627458,198903.1012326159
200219B02,controlBlk,DNA,10.235601017091202,0,0,19560.233543661292,9377343.824687902,708.3035903827111,3582.4603559819207,1046.078423946721,597748.8637971091
200219B02,IDBD-D101919,DNA,29041.92055590654,0,0,8428897.513216127,1040311.4014686041,9147.340999573413,43376.200405297095,547.6987780145996,448677.9245764784
200219B02,IDBD-D101920,DNA,1060.4379363583646,0,0,9632936.516041452,16336.299672898196,344.7648760733666,45018.776614091934,321.88948145238487,303981.3153776736
200219B02,IDBD-D101921,DNA,121.85316579284618,0,0,45771.095400937855,9358920.97498526,715.8873490329713,3630.843549483714,1134.75760644588,589704.5879430481
200219B02,IDBD-D101922,DNA,10026.657517518255,0,0,1158623.9255881316,8469111.622887833,6627.934216990092,8270.509218591982,469.54930386349236,346869.8012670712
200219B02,IDBD-D101923,DNA,7237.8856525467945,0,0,8608742.468294065,995580.0835921684,3038.065899452909,42427.887312422514,302.37429067367884,342671.2349586694
200219B02,IDBD-D101924,DNA,12416.625912598802,0,0,8312755.656989925,924883.7127090042,3851.7883176161167,47116.843630088006,803.9345567242709,698171.4378840443
200219B02,IDBD-D101925,DNA,59369.26447851669,0,0,1930306.552526871,7123733.502384283,15895.762628490342,10429.405483166682,574.9773755361298,859690.5351231364
200219B02,IDBD-D101926,DNA,152.30552488291514,0,0,226189.509741447,9135723.620072432,716.9854426091948,4901.076843166259,1366.4391902231348,630950.06318524
200219B02,IDBD-D101927,DNA,493171.8694926332,0,0,3543815.9770533736,5131289.511126606,123253.23136695706,20757.041656958278,5180.5272260634665,682531.8420774089
200219B02,IDBD-D101928,DNA,135.20939254580222,0,0,45102.73313652856,9311122.012609145,851.1257915383188,4011.2119788587984,1208.2172641592836,637569.4898272266
200219B02,IDBD-D101929,DNA,53.57338149272437,0,0,218723.490412951,9185540.507387957,707.5381073004631,4511.248193283893,1184.1564667874593,589279.4860502305
200219B02,IDBD-D101930,DNA,294274.3331954926,0,0,7018285.433681381,1999389.4086632896,77840.70350460043,28111.43130362866,702.6646335159722,581396.0250180914
200219B02,IDBD-D101931,DNA,114.34928315251172,0,0,74222.89452340444,9287269.085916337,826.9903513708438,4008.3507647925094,1805.085112621792,631753.2440483241
